amd-ucode 20251125-1
anki 25.09.2-1
atuin 18.10.0-1
autojump 22.5.3-11
bandwhich 0.23.1-2
base 3-2
bat 0.26.0-2
chezmoi 2.67.1-1
claude-code 2.0.55-1
copyq 13.0.0-1
direnv 2.37.1-1
dust 1.2.3-1
expressvpn 3.83.0.2_1-1
eza 0.23.4-1
fd 10.3.0-1
fisher 4.4.5-1
ghostty 1.2.3-2
git-absorb 0.8.0-1
git-delta 0.18.2-6
google-chrome 142.0.7444.175-1
grub 2:2.14rc1-2
hypridle 0.1.7-5
hyprland 0.52.1-6
hyprlock 0.9.2-6
hyprpaper 0.7.6-3
hyprshot 1.3.0-4
inter-font 4.1-1
jid-bin 0.7.6-2
jujutsu 0.35.0-1
kitty 0.44.0-1
links 2.30-1
neofetch 7.1.0-2
noto-fonts-emoji 1:2.051-1
obsidian 1.10.6-1
pacman-contrib 1.13.0-1
pavucontrol 1:6.2-1
powerline-fonts 2.8.4-3
pulsemixer 1.5.1-7
pv 1.10.2-1
rbenv 1.3.2-2
reflector 2023-3
starship 1.24.1-1
stremio 4.4.169-1
swaync 0.12.3-1
tidal-hifi-bin 5.20.1-3
topgrade 16.6.0-1
tree 2.2.1-1
ttf-fantasque-sans-mono 1.8.0-3
ttf-fira-code 6.2-2
ttf-inconsolata 1:3.000-5
unzip 6.0-23
uv 0.9.13-1
viu 1.5.1-1
vlc 3.0.21-32
waybar 0.14.0-5
wget 1.25.0-3
whois 5.6.5-1
wlogout 1.2.2-0
wofi 1.5.1-1
yay 12.5.3-1
zen-browser-bin 1.17.10b-1
zoxide 0.9.8-2
